@relation alpha2
@attribute a1 {a,b,c,d,e,f}
@attribute a2 {a,b,c,d,e,f}
@attribute a3 {a,b,c,d,e,f}
@attribute a4 {a,b,c,d,e,f}
@attribute a5 {a,b,c,d,e,f}
@attribute a6 {a,b,c,d,e,f}
@attribute a7 {a,b,c,d,e,f}
@attribute a8 {a,b,c,d,e,f}
@attribute a9 {a,b,c,d,e,f}
@attribute a10 {a,b,c,d,e,f}
@attribute class {yes,no}
@data
a,b,e,f,f,f,b,a,c,a,yes
b,b,f,a,c,e,b,a,e,b,yes
a,c,b,e,d,b,e,b,d,d,no
c,b,e,f,d,d,e,f,c,b,no
c,a,c,a,f,a,c,b,a,d,no
f,f,d,c,f,c,d,d,c,d,no
c,b,d,b,e,e,a,c,c,e,no
e,a,a,b,e,c,f,d,c,f,no
e,f,b,d,c,a,a,a,d,d,no
a,d,c,d,c,f,b,d,b,c,no
a,c,b,e,b,a,c,e,e,c,no
d,d,a,b,c,f,c,f,d,f,yes
f,b,e,c,b,d,f,e,f,e,no
d,f,a,b,c,f,c,b,e,a,yes
d,f,a,d,e,a,d,e,e,f,no
f,c,e,f,a,e,a,d,b,d,no
d,a,e,c,e,f,b,c,d,a,yes
c,b,d,c,b,e,a,d,d,e,no
a,a,a,a,a,e,a,a,a,c,no
f,d,a,c,c,f,c,a,a,b,no
d,e,b,d,c,c,b,a,c,f,no
c,f,d,f,b,b,b,c,f,d,no
d,c,b,f,d,c,a,b,b,c,no
f,b,e,a,f,d,d,c,d,a,no
c,f,b,d,a,f,f,d,d,a,no
d,f,c,c,e,a,d,a,a,c,no
b,e,f,d,e,e,e,b,b,d,yes
a,d,c,c,f,a,c,e,b,b,no
e,f,d,d,b,d,b,e,a,c,no
d,c,d,a,f,e,a,e,f,d,no
a,d,c,a,f,d,d,a,a,a,no
d,c,c,a,f,c,c,f,b,c,no
f,f,d,e,c,d,c,f,e,d,no
e,b,d,c,e,e,d,c,d,b,no
c,d,f,b,e,a,f,e,d,f,yes
e,e,e,c,e,a,f,a,e,b,no
f,f,f,d,b,f,b,c,a,e,no
f,f,f,f,d,c,c,c,c,b,no
e,f,f,d,f,f,a,b,b,b,no
a,f,e,d,b,b,f,d,b,b,no
a,e,b,d,c,a,e,c,a,a,no
a,d,a,f,b,b,d,c,b,f,no
a,b,b,a,e,c,a,f,a,a,no
d,a,b,f,e,d,a,d,c,c,no
c,a,d,a,f,d,e,f,e,d,no
c,e,f,c,f,f,c,f,c,b,yes
d,e,b,e,c,b,c,e,c,d,no
b,d,c,a,b,d,a,b,b,e,yes
f,d,f,c,a,e,a,d,a,b,no
b,b,b,a,e,a,d,e,b,a,no
a,c,a,b,f,e,a,d,e,b,no
f,d,f,d,b,c,b,d,d,b,no
d,d,e,b,e,d,e,f,e,e,no
e,b,b,e,c,e,b,c,f,a,no
c,a,f,b,e,b,e,a,c,d,no
c,b,f,f,e,b,f,f,d,f,no
b,f,d,c,e,d,c,f,a,e,no
b,f,f,f,d,f,a,c,c,b,no
a,e,f,a,a,f,a,a,f,b,yes
b,b,c,c,e,b,c,f,b,f,no
a,b,c,d,f,b,f,e,a,e,yes
a,a,b,d,a,a,e,d,a,e,no
b,a,f,b,a,b,c,d,c,a,no
b,d,f,b,a,e,b,a,a,b,yes
e,b,a,f,d,d,f,c,b,b,no
a,c,c,c,a,a,f,d,d,d,no
b,d,e,c,c,e,d,d,a,e,yes
b,f,e,e,a,f,d,b,a,a,no
e,b,c,e,e,c,b,c,d,a,no
b,f,d,a,b,f,f,f,b,e,yes
b,b,b,d,a,d,e,d,a,b,no
e,b,f,f,d,b,e,a,c,c,no
e,e,d,f,b,a,f,d,a,c,no
f,e,b,e,b,a,a,d,e,f,no
e,d,c,a,a,a,a,d,b,c,no
a,b,e,a,f,f,a,a,f,a,yes
d,b,f,b,e,c,f,f,c,a,no
d,f,c,a,a,a,c,c,a,a,no
a,e,f,a,a,c,d,d,b,e,yes
e,a,a,a,f,c,f,e,e,f,no
d,a,a,d,d,a,f,e,c,f,no
b,c,e,e,c,a,a,b,f,d,yes
d,d,e,c,c,d,e,b,b,b,no
b,e,f,c,d,f,e,e,b,d,yes
a,f,f,e,f,a,a,c,c,a,no
c,f,e,e,c,e,b,a,a,e,no
b,f,a,b,e,b,c,e,e,d,no
b,a,b,d,a,f,a,f,d,d,no
a,f,f,e,f,b,b,b,f,e,no
e,f,c,c,a,a,a,d,b,f,no
e,d,c,e,f,c,e,d,c,f,no
d,e,a,c,b,d,b,c,f,d,no
a,b,c,a,e,c,a,e,f,c,yes
c,a,d,f,a,c,e,e,a,a,no
a,f,e,a,a,b,c,e,f,e,no
a,f,c,f,c,b,c,a,a,d,no
a,f,e,e,b,b,c,b,c,e,no
f,d,f,e,a,e,f,f,b,a,no
e,c,d,d,d,a,d,e,b,f,no
f,c,f,e,a,c,f,c,f,e,no
e,c,e,b,e,a,b,b,b,c,no
b,e,f,c,c,e,c,b,e,a,yes
c,e,e,c,e,b,f,e,c,e,no
c,e,e,c,f,e,d,e,d,b,no
a,b,a,c,a,e,d,d,b,d,no
c,f,e,b,d,c,b,b,b,f,no
a,c,a,a,c,b,a,d,f,f,no
c,a,e,b,e,b,c,f,e,b,no
d,c,a,a,e,c,b,b,e,d,no
a,f,b,f,b,c,e,c,d,f,no
f,d,e,b,f,d,b,f,e,c,no
b,b,f,f,b,f,c,f,f,e,no
b,d,e,c,a,d,d,d,c,b,yes
b,a,b,a,d,e,a,c,b,c,yes
c,b,e,e,c,a,a,c,b,e,no
f,a,b,d,c,e,d,b,b,b,no
b,c,f,b,f,b,c,e,d,f,yes
d,a,d,f,f,f,a,f,b,c,no
c,b,c,e,c,c,d,e,d,f,no
a,f,f,e,e,e,c,f,c,e,no
e,c,a,d,d,f,c,b,d,b,no
a,d,c,d,b,b,a,d,a,a,no
f,f,f,d,b,d,a,a,a,e,no
d,c,d,d,e,f,d,b,a,d,yes
f,a,e,c,e,e,a,e,b,a,no
b,b,b,e,b,c,a,d,b,f,no
e,e,a,d,a,f,e,e,f,f,no
d,b,c,f,e,a,c,b,a,a,no
d,b,e,b,a,f,a,d,b,f,no
b,e,f,e,b,d,f,f,f,a,yes
b,a,b,f,e,f,e,f,f,b,no
c,d,f,a,d,c,d,b,b,b,yes
f,a,c,d,c,d,b,d,d,f,no
a,d,c,d,f,e,b,c,d,d,no
a,a,d,c,f,e,e,f,d,e,no
f,f,a,c,f,a,d,e,b,c,no
e,d,b,b,e,e,c,a,c,a,no
a,a,a,f,a,f,b,c,c,e,no
f,c,a,c,f,b,b,b,d,b,no
e,d,c,f,a,a,a,a,e,e,no
f,b,e,c,a,c,d,b,f,e,no
e,c,a,c,a,b,c,d,e,e,no
e,e,e,f,c,c,b,e,c,a,no
e,d,e,e,f,b,d,b,a,c,no
b,a,e,b,f,f,e,b,f,d,no
c,b,a,c,e,d,d,d,b,b,no
a,e,d,f,f,b,d,b,f,e,no
c,f,d,e,e,b,e,c,e,d,no
d,e,b,c,f,a,d,e,d,e,no
a,d,d,c,e,b,a,b,e,e,no
b,f,c,e,e,b,c,a,e,b,no
e,e,f,a,f,f,a,d,d,c,no
b,b,c,b,f,f,b,f,a,d,no
f,a,c,e,b,b,a,c,e,d,no
e,a,e,b,b,e,f,c,f,d,no
f,e,b,f,a,f,f,c,d,c,no
d,a,c,e,b,e,e,f,b,b,no
d,e,c,a,c,c,c,c,b,e,no
e,e,e,a,f,a,c,a,f,b,no
b,f,b,d,f,d,d,c,f,b,no
a,a,d,e,d,c,e,c,c,e,no
d,f,a,f,f,b,e,c,e,f,no
e,f,f,f,a,f,d,b,a,f,no
a,a,e,e,e,c,b,e,e,f,no
c,f,c,e,a,e,a,b,e,b,no
b,e,d,f,a,d,e,e,a,d,no
d,d,a,f,f,e,d,c,a,c,no
a,e,e,b,a,b,e,c,b,d,no
a,b,d,a,e,b,f,a,a,c,yes
e,e,d,c,b,b,c,a,c,f,no
b,f,c,d,b,b,c,b,f,e,no
d,d,d,e,a,a,e,b,c,b,no
a,a,d,c,e,c,f,f,d,e,no
d,c,f,c,e,b,e,d,a,e,no
a,a,c,a,f,e,b,a,e,c,no
a,b,a,f,c,c,d,e,a,b,no
f,a,d,f,c,b,c,d,d,b,no
a,b,d,b,c,c,e,e,e,c,yes
b,b,a,f,c,d,c,a,c,d,no
d,d,c,d,b,a,e,b,d,c,no
e,a,e,d,c,b,d,c,d,d,no
d,e,a,a,a,b,c,a,a,e,no
e,c,f,e,d,a,e,d,d,f,no
b,d,a,d,e,a,f,d,c,b,no
e,a,a,a,c,a,b,e,b,c,no
a,e,f,c,f,a,f,f,e,e,yes
a,d,e,b,e,e,b,c,e,d,yes
a,a,b,c,e,c,c,d,c,c,no
b,e,e,a,c,f,b,c,c,a,yes
e,a,e,f,f,d,a,b,e,b,no
d,a,e,a,a,a,a,a,a,f,no
e,c,d,f,c,c,a,b,e,e,no
e,a,a,a,f,c,b,a,b,b,no
f,f,d,b,c,e,d,c,f,f,yes
b,a,f,a,e,b,d,e,f,e,no
d,d,f,c,f,a,f,f,c,d,no
c,a,c,a,d,a,d,b,c,e,no
b,e,a,a,e,b,b,c,c,a,no
e,b,c,d,b,a,f,f,e,c,no
f,b,b,c,d,a,d,e,a,e,no
e,d,f,b,b,b,c,a,f,b,no
e,a,e,d,a,d,b,e,e,c,no
f,c,b,f,d,c,c,b,d,d,no
d,a,d,c,c,b,d,a,d,a,no
e,a,d,a,a,b,c,c,f,c,no
d,d,d,c,f,e,c,f,e,f,no
c,b,f,d,f,f,e,e,d,a,no
c,b,b,b,d,a,f,f,e,d,no
b,d,c,d,e,e,c,b,d,f,no
b,b,e,b,b,c,c,e,b,b,no
a,c,e,b,c,b,c,b,f,d,yes
b,c,b,e,d,e,e,a,a,e,no
f,c,a,e,c,e,f,b,a,e,no
b,e,f,e,f,f,b,d,c,d,yes
b,d,e,f,a,f,e,e,c,f,yes
d,a,d,f,b,a,d,f,a,d,no
e,f,a,e,d,c,e,c,f,d,no
a,b,b,b,d,a,e,a,c,e,no
a,e,e,d,b,e,a,e,f,c,no
d,e,a,b,d,d,f,b,e,d,no
a,b,d,d,d,f,f,b,d,a,yes
b,c,b,b,e,e,c,d,b,e,no
d,f,b,d,e,d,b,b,b,e,no
d,b,f,a,d,a,b,a,d,d,no
b,d,b,f,e,d,e,d,a,e,no
e,c,c,a,e,f,a,c,a,a,yes
e,d,e,c,a,d,e,c,f,a,no
e,d,c,f,d,b,b,e,f,d,no
d,f,d,d,d,f,a,b,c,c,no
d,a,b,c,e,c,f,a,a,e,no
e,c,c,c,f,c,d,c,b,f,no
b,d,f,e,e,f,f,c,d,d,yes
b,d,b,d,d,e,d,c,e,b,no
f,f,a,f,e,f,d,e,c,a,no
d,f,f,e,c,d,c,f,b,a,no
e,b,d,a,f,d,f,e,a,c,no
e,f,e,b,e,d,f,d,e,d,no
e,d,a,e,d,d,b,c,c,f,no
e,b,d,e,b,d,b,a,b,e,no
c,f,b,e,d,e,d,f,f,e,no
b,f,a,c,b,c,e,f,e,f,no
e,f,e,c,e,d,e,d,b,e,no
e,b,e,f,c,e,a,e,c,d,no
b,b,f,e,f,f,d,c,f,b,no
b,c,c,d,c,e,e,d,d,a,no
d,f,d,c,c,b,f,e,e,f,no
f,d,f,f,c,a,a,d,b,d,no
e,e,e,b,d,f,d,d,a,b,yes
d,e,a,e,f,b,f,d,e,b,no
f,b,d,b,a,f,d,f,f,c,no
d,b,b,d,d,d,e,d,c,d,no
d,b,a,a,c,b,f,c,a,a,no
c,d,f,e,c,d,d,d,a,d,yes
e,a,c,b,a,e,d,e,f,f,no
f,d,e,f,b,b,d,b,b,c,no
f,f,b,c,d,d,a,f,b,e,no
e,d,a,c,d,d,f,f,c,c,no
b,a,d,a,b,c,e,f,e,e,yes
e,a,b,b,f,c,d,d,d,a,no
f,c,e,d,b,e,c,a,a,f,no
c,a,d,a,e,a,c,f,b,c,no
f,f,a,c,c,e,e,c,b,a,no
c,d,f,c,f,b,d,d,e,b,yes
f,c,b,f,e,a,c,a,e,f,no
b,d,a,e,d,d,d,c,c,f,no
a,b,b,b,a,f,b,c,f,e,no
d,a,a,c,d,f,a,a,b,f,yes
a,a,e,a,a,c,b,f,d,c,no
f,b,a,d,e,c,c,c,b,b,no
d,d,f,f,b,e,a,c,f,f,no
c,d,b,b,d,f,b,e,c,b,yes
b,d,b,e,b,a,a,c,e,c,no
d,c,b,f,f,d,a,a,f,a,no
b,b,d,b,e,b,b,d,d,e,no
b,a,c,b,f,d,e,b,a,b,no
b,b,b,f,f,f,c,b,f,b,no
c,c,f,d,b,f,b,f,d,b,no
b,a,e,a,c,a,d,d,b,a,no
c,a,b,d,f,c,b,f,c,c,no
e,e,f,f,b,c,e,f,b,f,no
c,f,b,e,c,a,e,d,f,e,no
a,d,c,a,f,b,b,e,c,d,no
d,a,f,a,a,f,f,c,c,f,no
f,b,a,b,f,e,c,c,d,b,no
e,c,e,a,d,e,a,b,a,c,yes
d,b,b,d,f,a,f,c,e,e,no
a,f,b,c,e,a,d,c,c,c,no
f,b,b,b,f,d,b,f,b,d,no
c,e,c,f,d,a,b,d,f,b,no
a,d,c,b,a,f,c,e,a,a,no
d,d,a,b,c,e,b,e,a,f,yes
a,a,d,e,d,e,c,e,b,c,no
a,c,b,d,f,a,f,b,e,b,no
f,a,e,e,b,a,c,c,c,b,no
d,e,e,c,d,f,e,d,c,d,yes
a,a,e,f,e,c,f,a,c,f,no
e,c,b,c,c,b,c,a,b,d,no
b,c,c,c,a,c,c,e,d,e,no
d,b,e,e,d,e,b,a,b,c,no
e,a,a,e,e,f,e,f,b,b,no
a,f,a,f,e,c,a,d,d,d,no
b,a,d,c,c,d,f,b,a,d,no
a,d,c,b,b,f,f,f,f,d,no
c,a,f,f,b,c,f,f,d,c,no
c,a,b,c,d,e,b,e,a,c,yes
c,a,e,b,a,e,b,d,b,b,no
a,f,f,b,b,f,f,d,e,e,no
e,b,f,b,e,e,a,b,a,c,no
d,d,d,c,e,b,d,b,e,b,no
a,b,b,a,c,a,d,f,a,a,no
c,b,b,a,c,b,e,f,e,c,no
d,e,c,d,f,d,d,c,c,b,no
c,d,e,e,d,e,f,a,b,f,yes
e,d,b,a,b,c,d,f,b,f,yes
b,d,d,c,b,f,c,a,c,e,no
d,a,d,e,f,e,b,c,d,e,no
d,f,e,e,c,f,f,c,a,f,no
d,e,c,b,d,d,f,c,f,e,no
a,d,d,f,a,d,b,d,b,d,no
b,f,a,d,c,e,a,e,a,f,no
a,b,f,d,d,d,f,f,b,f,yes
e,b,e,c,d,c,b,e,f,a,no
e,c,e,c,f,b,c,d,e,b,no
c,a,f,a,c,a,b,f,a,a,no
d,f,f,a,a,c,b,a,e,f,no
e,b,a,a,d,c,c,f,b,a,no
f,f,d,f,f,a,b,a,d,c,no
b,d,a,c,d,d,d,b,a,b,no
f,c,e,f,e,c,c,c,e,d,no
d,c,a,a,d,c,a,f,c,f,no
d,d,d,a,e,d,e,a,e,a,no
b,a,c,c,a,a,a,d,b,e,no
b,f,c,f,c,f,d,c,e,c,no
b,f,e,e,c,b,f,a,c,f,no
a,d,b,c,e,d,f,c,e,e,no
c,f,a,d,e,d,f,d,d,e,no
c,e,e,c,f,b,c,f,a,d,no
c,b,e,a,e,e,b,f,c,f,no
f,f,a,b,b,a,c,a,e,a,no
d,d,c,b,d,a,f,d,e,b,no
f,b,c,e,a,b,a,d,c,a,no
b,c,d,c,d,d,b,e,e,f,yes
e,d,c,b,e,d,d,a,d,f,no
e,c,f,e,a,b,f,a,d,e,no
c,e,a,d,b,c,f,d,b,d,no
e,b,f,e,f,f,c,f,d,e,no
c,f,e,b,f,d,b,c,c,f,no
e,e,a,b,d,d,b,b,d,e,no
f,e,d,c,c,f,f,b,e,c,no
f,b,f,d,e,b,a,c,f,d,no
e,f,f,c,b,a,f,e,d,c,no
c,a,f,e,b,e,d,c,a,e,no
f,e,b,b,c,e,b,b,b,d,yes
a,f,c,f,c,d,b,d,c,a,no
b,e,a,c,c,f,f,e,c,d,no
f,c,f,b,f,a,e,b,a,f,no
a,d,d,e,b,c,c,e,b,c,no
e,a,e,b,a,c,e,b,d,d,no
e,a,b,e,c,a,d,d,c,b,no
a,b,a,f,a,b,f,c,a,a,no
f,f,c,a,e,a,f,f,d,c,no
f,b,c,a,a,b,e,d,a,a,no
a,a,d,a,b,d,d,a,b,b,yes
b,b,c,d,c,f,c,f,e,e,no
b,d,d,b,e,e,b,e,f,a,no
e,e,f,e,e,a,d,d,d,b,no
a,c,a,c,c,f,e,d,b,e,no
c,e,e,d,f,e,b,d,f,c,no
e,a,b,d,d,c,c,d,e,e,no
a,c,f,b,f,f,a,b,f,b,yes
a,a,f,e,a,a,c,a,a,b,no
b,c,d,d,a,e,e,b,d,b,yes
a,c,a,c,b,b,f,f,a,e,no
d,d,f,c,d,f,b,a,d,e,yes
a,c,b,d,d,e,d,d,d,d,no
e,f,e,c,d,b,a,f,f,a,no
b,c,c,f,b,d,d,c,e,c,no
a,c,e,e,f,c,d,c,c,e,yes
f,a,c,d,a,c,c,c,b,d,no
d,d,a,d,d,b,f,d,c,b,no
d,f,a,a,b,c,a,e,c,a,yes
e,b,a,c,e,f,a,e,d,a,yes
d,e,b,d,c,e,a,d,e,e,no
b,c,c,b,a,f,f,d,a,b,no
d,f,f,a,e,d,e,a,d,b,no
e,d,b,e,a,b,f,c,b,f,no
f,c,b,a,a,a,d,d,d,c,no
b,a,c,c,f,d,b,d,a,d,no
a,c,c,f,e,a,a,a,e,d,no
e,f,f,b,c,f,a,e,f,f,yes
d,a,b,d,e,d,d,a,c,d,no
a,b,f,f,b,c,c,c,b,d,yes
f,d,a,b,b,d,f,f,a,a,no
a,d,d,d,b,b,d,e,d,b,no
c,c,f,d,f,c,b,c,e,d,no
b,b,e,b,e,f,d,f,b,b,yes
f,d,a,b,d,f,c,e,f,c,yes
f,c,b,f,f,c,a,c,e,d,no
f,c,c,f,d,f,b,c,a,d,no
e,f,f,d,e,f,d,a,b,d,yes
f,b,e,c,b,e,a,b,a,f,no
f,f,e,d,a,a,b,d,f,d,no
d,a,b,c,c,a,c,f,d,b,no
a,a,a,d,c,e,e,d,f,d,no
b,e,f,a,c,b,b,b,c,c,yes
b,c,e,d,d,f,f,f,e,f,yes
a,f,c,b,c,e,d,e,d,a,yes
f,d,e,d,c,e,f,e,d,d,no
f,d,c,e,c,c,c,d,c,f,no
d,a,d,b,a,f,a,c,e,f,no
f,c,d,d,d,c,e,f,c,a,no
e,b,f,c,e,d,f,f,d,d,no
a,f,f,e,e,f,f,e,c,b,no
d,f,a,a,b,f,a,c,f,f,yes
d,a,e,a,d,f,b,a,b,f,yes
b,e,a,a,c,a,f,b,f,c,no
f,e,c,c,e,b,c,c,f,f,no
b,d,c,b,d,c,c,e,f,b,no
a,d,a,d,d,f,d,c,d,b,no
e,a,f,b,f,d,e,d,d,a,no
c,e,d,f,b,e,f,c,c,a,no
e,b,e,a,d,b,a,e,e,e,no
e,f,c,b,f,a,d,a,a,c,no
c,a,e,e,d,e,c,b,b,d,no
c,c,f,c,a,a,b,d,b,c,no
d,f,d,f,d,e,c,b,e,a,no
d,e,e,d,f,b,d,a,e,c,no
e,e,a,a,b,a,e,d,a,e,no
b,d,b,b,b,e,c,c,e,b,no
e,d,c,d,a,b,e,d,c,e,no
b,f,e,f,c,c,e,f,b,c,no
d,b,c,f,a,d,c,e,a,d,no
b,f,a,d,d,d,d,b,c,e,no
e,a,a,e,c,d,e,d,d,b,no
c,c,b,b,c,a,c,c,f,c,no
f,e,e,d,a,e,f,d,b,d,no
a,b,b,c,e,f,c,a,d,e,yes
f,e,c,b,c,f,f,b,e,c,yes
c,b,a,f,f,c,c,c,f,b,no
c,e,d,d,a,a,b,d,f,b,no
b,b,f,c,e,b,b,b,e,d,no
e,b,f,b,b,f,e,c,b,f,no
e,c,f,b,d,c,d,a,c,e,no
a,b,c,a,f,d,c,c,b,c,yes
f,e,c,d,d,d,b,e,d,f,no
f,f,b,f,e,b,b,a,a,a,no
f,d,e,b,c,b,f,f,d,e,no
a,c,c,c,a,c,b,f,f,d,no
e,a,e,f,b,c,b,f,f,f,no
e,e,c,f,f,c,b,f,d,a,no
c,f,d,a,b,a,a,a,b,f,no
c,c,f,f,b,b,f,a,e,c,no
f,e,b,c,e,a,c,d,c,d,no
c,a,a,c,f,e,c,d,c,b,no
a,b,d,e,e,d,a,c,b,d,yes
c,b,e,c,d,a,a,e,c,d,no
a,d,c,c,e,e,f,d,c,f,no
e,b,d,d,c,d,a,b,b,e,no
c,d,e,e,f,f,c,e,e,a,yes
d,a,b,f,f,e,e,f,a,e,no
e,c,f,a,f,f,f,a,f,f,no
d,d,f,c,b,e,c,b,f,c,no
b,d,e,d,a,e,c,d,d,f,yes
a,a,c,d,c,d,b,a,d,e,no
d,f,e,a,e,c,d,f,c,b,no
f,e,c,d,c,a,a,b,d,c,no
f,c,f,c,b,c,a,f,c,d,no
d,a,e,d,a,d,c,f,d,c,no
d,e,b,c,a,b,e,a,b,e,no
e,b,c,a,e,d,a,d,a,e,no
a,b,a,b,c,e,c,d,b,d,yes
c,b,c,e,b,f,a,a,c,b,no
e,b,e,b,e,d,c,a,d,d,no
f,d,c,a,f,a,a,e,c,b,no
b,a,a,d,b,d,a,f,b,e,no
c,c,a,e,d,f,f,e,a,c,no
d,b,c,c,f,a,e,c,e,b,no
e,d,f,e,e,c,d,b,f,f,no
d,c,d,d,d,c,d,f,e,b,no
d,e,d,f,a,a,e,a,a,c,no
a,b,e,b,c,e,b,d,d,f,yes
e,e,b,a,a,d,f,c,d,b,no
d,d,d,f,d,d,e,f,e,e,no
e,d,e,e,a,f,c,a,c,e,no
d,a,f,e,c,c,a,c,c,e,no
d,f,b,d,c,e,f,a,c,a,no
f,f,a,d,d,e,f,d,b,d,no
d,e,b,e,f,e,b,a,c,f,no
c,e,b,b,d,b,d,c,b,a,no
e,b,a,a,a,a,b,e,a,f,no
f,e,e,e,e,f,e,d,f,c,no
c,b,e,c,b,d,b,c,e,c,no
b,e,f,a,a,d,d,b,f,a,yes
f,b,f,d,f,f,b,e,e,f,no
e,e,b,f,a,d,e,b,c,f,no
f,c,c,a,f,b,c,d,f,e,no
e,a,c,b,e,e,e,e,c,e,no
d,e,d,d,c,e,a,c,d,f,no
d,e,c,d,e,e,b,a,d,a,no
c,a,b,f,f,b,c,a,c,a,no
a,b,f,c,a,b,d,d,c,f,yes
f,b,b,f,a,e,f,f,d,b,no
f,a,e,c,f,b,c,a,d,c,no
e,e,a,b,b,f,f,f,f,b,no
b,b,c,e,d,d,e,c,d,b,no
f,a,b,c,d,e,e,c,e,b,yes
a,a,a,d,e,e,b,b,a,c,no
b,d,f,e,b,b,c,b,f,d,yes
a,b,f,f,d,f,d,f,b,a,yes
f,e,d,b,f,c,b,b,b,c,no
d,c,f,c,f,a,f,a,f,d,no
f,c,d,c,f,a,b,a,c,b,no
e,f,f,a,a,d,b,d,f,b,no
c,b,b,a,c,a,a,c,a,c,no
a,f,f,d,c,a,e,f,b,b,no
c,b,f,d,d,b,e,d,d,d,no
f,a,c,b,a,f,d,c,f,e,no
c,d,a,c,a,f,f,f,b,b,no
b,c,b,e,a,c,b,d,f,a,no
a,e,c,e,a,a,d,b,a,a,no
d,d,f,b,e,d,c,d,a,d,no
c,e,e,b,d,d,a,d,e,d,no
a,c,b,d,f,a,e,d,f,a,no
a,d,c,d,d,d,b,a,a,a,no
b,b,b,b,c,a,a,f,b,d,no
a,f,d,e,f,a,e,a,e,c,no
e,d,e,d,f,e,d,d,a,e,no
f,d,f,a,c,a,c,f,b,f,no
a,d,b,a,d,a,e,e,c,a,no
f,c,f,d,d,f,a,b,b,e,no
f,a,f,a,c,e,d,e,b,b,yes
a,e,e,a,c,c,f,c,b,f,no
b,f,f,b,f,a,f,a,b,b,no
a,a,d,c,f,b,e,b,d,f,no
b,a,f,a,a,f,d,b,f,f,no
e,e,b,e,e,a,f,d,a,d,no
a,c,c,b,d,a,c,d,f,f,no
a,a,b,f,f,f,f,e,a,b,no
a,a,e,f,e,f,e,b,a,c,no
a,c,e,e,d,f,d,d,b,e,yes
d,b,f,a,c,f,d,c,b,a,yes
f,a,d,a,e,f,a,e,f,e,yes
b,b,e,b,d,a,c,a,a,e,no
a,a,d,e,c,b,d,c,d,b,no
d,b,c,c,f,b,c,f,c,e,no
c,f,f,a,a,b,b,a,f,a,no
e,b,d,a,b,e,b,b,b,b,yes
c,e,f,b,a,f,b,b,b,e,yes
c,b,c,e,c,f,e,d,e,f,no
a,c,c,b,a,e,e,a,b,a,no
d,c,f,c,b,b,c,a,c,b,no
a,f,c,a,b,b,b,e,b,e,no
a,f,f,c,a,d,a,b,f,c,no
c,c,c,b,f,b,e,b,f,f,no
f,a,e,b,c,e,d,e,b,c,yes
a,b,e,c,d,d,f,f,b,b,yes
b,e,a,b,c,e,f,a,e,e,yes
a,d,e,f,f,d,e,b,e,b,yes
a,c,a,e,c,b,a,d,e,d,no
b,c,b,d,d,f,e,d,b,a,no
e,a,e,e,e,e,a,f,f,b,no
a,a,d,f,e,f,b,f,a,c,no
d,a,f,b,b,b,f,b,d,a,no
d,a,b,f,e,e,c,d,c,e,no
b,e,c,b,a,b,e,f,c,a,no
c,d,f,b,e,e,e,d,b,e,yes
c,e,a,b,f,f,b,c,a,d,no
b,a,c,d,c,a,f,e,c,d,no
e,a,a,e,f,c,d,f,e,b,no
e,e,c,e,f,a,e,c,b,e,no
f,f,c,a,e,a,a,c,b,b,no
f,a,c,a,c,e,e,c,e,f,yes
d,b,c,c,b,f,b,a,b,d,no
a,f,f,d,a,c,b,d,b,b,no
d,c,c,e,c,e,f,e,b,a,no
c,b,a,a,f,b,c,f,d,e,no
a,f,f,a,b,b,d,b,b,e,no
f,a,b,c,a,a,d,a,b,c,no
a,a,e,e,f,b,b,d,c,a,no
b,f,b,b,a,f,f,a,c,d,no
f,f,f,b,d,e,e,d,b,b,yes
e,c,e,c,a,f,f,c,c,f,no
c,f,c,c,a,f,b,a,d,d,no
c,f,b,a,d,d,d,a,e,c,no
e,e,d,a,a,b,f,e,b,f,no
f,d,f,c,d,e,d,a,b,f,yes
a,e,b,f,f,a,d,e,a,b,no
f,f,f,b,e,e,f,e,e,c,no
b,b,d,b,d,a,a,c,c,f,no
c,c,a,a,e,c,f,f,b,c,no
d,b,a,e,b,a,d,a,e,b,no
e,b,d,c,b,d,b,c,c,b,no
d,f,e,b,d,c,c,b,d,f,no
b,b,c,d,f,c,e,a,a,e,no
c,d,f,a,c,d,f,b,e,a,yes
f,f,d,d,a,a,e,c,c,d,no
c,b,a,c,f,b,b,d,f,d,no
a,e,a,e,a,b,e,e,b,f,no
f,d,e,d,c,c,e,d,a,a,no
a,b,a,b,f,a,d,a,b,b,no
a,f,f,e,a,c,a,b,d,f,no
d,f,d,d,c,f,a,b,c,a,no
f,d,c,a,d,b,e,d,c,b,no
f,c,f,a,b,a,d,f,f,e,no
f,b,c,d,c,e,d,e,e,b,no
f,c,f,e,e,d,b,c,a,d,no
a,a,c,e,b,a,f,e,a,b,no
d,b,e,f,d,b,d,d,d,a,no
c,b,b,a,b,f,b,d,c,f,yes
e,f,b,a,f,e,c,d,f,d,no
f,a,d,a,a,b,b,b,b,f,no
e,e,a,d,e,a,b,b,f,d,no
a,d,b,e,a,d,e,a,e,f,no
a,f,b,a,f,c,e,f,a,d,no
f,f,a,f,c,c,f,f,f,f,no
a,b,e,b,d,c,d,d,a,e,yes
f,c,a,f,c,d,d,a,e,a,no
a,f,e,f,f,c,c,e,c,f,no
c,d,b,c,e,f,e,e,d,f,yes
e,f,b,e,b,d,c,f,d,d,no
c,e,b,f,b,d,a,c,e,d,no
